System,ligand_ID,exp_microM,exp_dG,run,lig_coul,lig_vdw,rest_analytical_dGoff,comp_rest,comp_vdw,comp_coul,rocklin_lig,rocklin_comp,calc_dG
MCL-1,65,0.75,-8.36,4,-0.39,94.40,-6.68,0.71,17.70,92.66,17.48,16.50,-11.37
MCL-1,65,0.75,-8.36,5,-0.38,94.29,-6.93,0.84,16.17,91.66,17.57,16.45,-8.95
CycloD,2,0.23,-9.06,1,-0.74,135.69,-7.03,0.48,10.01,139.82,0.00,0.00,-8.33
CycloD,2,0.23,-9.06,2,-0.61,135.68,-7.03,0.48,9.38,140.36,0.00,0.00,-8.12
CycloD,2,0.23,-9.06,3,-0.73,135.70,-7.06,0.49,8.79,140.52,0.00,0.00,-7.77
CycloD,2,0.23,-9.06,4,-0.67,135.68,-7.09,0.58,8.99,140.07,0.00,0.00,-7.54
CycloD,2,0.23,-9.06,5,-0.62,135.76,-7.06,0.50,9.62,141.19,0.00,0.00,-9.12
CycloD,2,0.23,-9.06,6,-0.68,135.66,-7.06,0.57,9.21,139.77,0.00,0.00,-7.51
CycloD,2,0.23,-9.06,7,-0.65,135.65,-7.12,0.73,8.28,140.32,0.00,0.00,-7.21
CycloD,2,0.23,-9.06,8,-0.65,135.60,-7.11,0.72,9.86,140.91,0.00,0.00,-9.45
CycloD,2,0.23,-9.06,9,-0.75,135.74,-6.75,0.55,8.19,140.71,0.00,0.00,-7.72
CycloD,2,0.23,-9.06,10,-0.66,135.63,-7.06,0.51,7.97,139.82,0.00,0.00,-6.27
CycloD,2,0.23,-9.06,11,-0.59,135.73,-7.07,0.51,8.65,139.51,0.00,0.00,-6.46
CycloD,2,0.23,-9.06,12,-0.67,135.78,-7.04,0.51,8.86,139.99,0.00,0.00,-7.21
CycloD,2,0.23,-9.06,13,-0.74,135.72,-7.02,0.49,9.77,139.80,0.00,0.00,-8.06
CycloD,2,0.23,-9.06,14,-0.63,135.73,-7.11,0.65,9.21,140.08,0.00,0.00,-7.74
CycloD,2,0.23,-9.06,15,-0.69,135.63,-7.01,0.53,9.55,139.87,0.00,0.00,-7.99
CycloD,2,0.23,-9.06,16,-0.69,135.74,-7.02,0.51,9.24,140.07,0.00,0.00,-7.75
CycloD,2,0.23,-9.06,17,-0.63,135.71,-7.04,0.50,9.31,139.59,0.00,0.00,-7.28
CycloD,2,0.23,-9.06,18,-0.62,135.69,-6.96,0.84,9.29,139.28,0.00,0.00,-7.39
CycloD,2,0.23,-9.06,19,-0.64,135.67,-7.06,0.51,8.91,139.79,0.00,0.00,-7.11
CycloD,2,0.23,-9.06,20,-0.66,135.59,-7.06,0.48,8.67,140.52,0.00,0.00,-7.69
CycloD,3,7100,-2.93,1,0.15,26.85,-6.72,1.27,8.45,28.69,0.00,0.00,-4.69
CycloD,3,7100,-2.93,2,0.15,26.85,-6.86,0.66,9.08,28.86,0.00,0.00,-4.75
CycloD,3,7100,-2.93,3,0.14,26.86,-6.94,1.19,9.04,28.62,0.00,0.00,-4.91
CycloD,3,7100,-2.93,4,0.13,26.87,-6.78,0.81,8.56,28.76,0.00,0.00,-4.34
CycloD,3,7100,-2.93,5,0.13,26.83,-6.74,0.79,8.85,28.91,0.00,0.00,-4.84
CycloD,4,7500,-2.90,1,0.55,75.80,-6.64,0.81,9.43,77.21,0.00,0.00,-4.46
CycloD,4,7500,-2.90,2,0.52,76.05,-6.74,0.94,9.51,75.90,0.00,0.00,-3.03
CycloD,4,7500,-2.90,3,0.60,76.35,-6.72,0.69,8.99,77.65,0.00,0.00,-3.66
CycloD,4,7500,-2.90,4,0.51,75.69,-6.68,0.62,10.00,77.38,0.00,0.00,-5.12
