System,ligand_ID,exp_microM,exp_dG,run,lig_coul,lig_vdw,rest_analytical_dGoff,comp_rest,comp_vdw,comp_coul,rocklin_lig,rocklin_comp,calc_dG
MCL-1,13,160,-5.18,3,0.23,67.85,-6.96,1.19,16.28,62.46,17.60,16.47,-6.02
MCL-1,13,160,-5.18,4,0.22,67.82,-6.86,2.69,10.65,65.34,17.59,16.50,-4.86
MCL-1,13,160,-5.18,5,0.23,67.80,-6.90,1.54,15.30,62.38,17.59,16.46,-5.43
MCL-1,14,81,-5.58,1,0.69,67.40,-6.57,1.34,14.52,64.77,17.51,16.46,-7.03
MCL-1,14,81,-5.58,2,0.68,67.35,-6.49,1.91,14.39,64.88,17.66,16.47,-7.85
MCL-1,14,81,-5.58,3,0.70,67.42,-7.04,1.40,15.17,65.22,17.55,16.48,-7.70
MCL-1,14,81,-5.58,4,0.68,67.40,-6.71,1.42,15.96,63.23,17.54,16.51,-6.86
MCL-1,14,81,-5.58,5,0.68,67.39,-6.58,1.63,13.17,66.24,17.63,16.44,-7.59
MCL-1,15,136,-5.27,1,-0.46,68.47,-6.36,1.45,12.25,66.89,17.57,16.49,-7.31
MCL-1,15,136,-5.27,2,-0.37,68.54,-6.25,2.63,10.86,65.87,17.67,16.48,-6.13
MCL-1,15,136,-5.27,3,-0.42,68.51,-6.66,1.10,12.48,67.87,17.57,16.48,-7.79
MCL-1,15,136,-5.27,4,-0.44,68.55,-6.55,1.87,11.19,66.93,17.55,16.51,-6.38
MCL-1,15,136,-5.27,5,-0.41,68.48,-6.50,2.03,10.75,67.78,17.56,16.48,-7.07
MCL-1,16,103,-5.44,1,-1.11,69.40,-6.58,0.70,14.77,67.05,17.49,16.51,-8.63
MCL-1,16,103,-5.44,2,-1.16,69.42,-6.35,2.51,11.35,68.02,17.55,16.51,-8.32
MCL-1,16,103,-5.44,3,-1.14,69.44,-6.86,1.40,13.44,67.73,17.54,16.50,-8.45
MCL-1,16,103,-5.44,4,-1.14,69.42,-6.05,4.15,5.64,68.43,17.60,16.51,-4.97
MCL-1,16,103,-5.44,5,-1.16,69.40,-6.81,1.23,14.15,66.64,17.51,16.47,-8.01
MCL-1,17,60,-5.76,1,-1.26,132.23,-6.21,2.01,10.67,129.07,17.59,16.52,-5.63
MCL-1,17,60,-5.76,2,-1.30,132.31,-6.86,2.88,10.38,129.06,17.50,16.48,-5.47
MCL-1,17,60,-5.76,3,-1.31,132.35,-6.60,3.51,10.27,129.34,17.58,16.44,-6.62
MCL-1,17,60,-5.76,4,-1.28,132.33,-6.52,1.25,10.40,128.59,17.60,16.45,-3.80
MCL-1,17,60,-5.76,5,-1.29,132.33,-6.60,1.70,9.89,131.41,17.51,16.49,-6.38
MCL-1,60,0.32,-8.86,1,-0.51,91.12,-6.63,1.80,17.73,87.53,17.58,16.49,-10.91
MCL-1,60,0.32,-8.86,2,-0.46,91.03,-6.47,2.90,16.60,86.90,17.45,16.45,-10.36
MCL-1,60,0.32,-8.86,3,-0.45,91.14,-6.65,1.14,17.03,91.20,17.50,16.49,-13.03
MCL-1,60,0.32,-8.86,4,-0.55,90.88,-6.85,0.92,17.54,88.00,17.47,16.44,-10.31
MCL-1,60,0.32,-8.86,5,-0.52,91.08,-6.94,0.85,16.25,87.98,17.49,16.49,-8.58
MCL-1,65,0.75,-8.36,1,-0.36,94.04,-6.65,0.73,18.85,90.00,17.49,16.43,-10.31
MCL-1,65,0.75,-8.36,2,-0.30,93.96,-6.31,1.38,19.06,91.38,17.54,16.45,-12.94
MCL-1,65,0.75,-8.36,3,-0.36,94.13,-6.87,1.46,19.78,91.67,17.56,16.45,-13.39
